Localidad,Id_Provincia,Id_Partido,Id_Localidad
Country Club el Rodeo,2,69,359
El Retiro,2,69,360
Ignacio Correas,2,69,361
Joaquin Gorina,2,69,362
Jose Hernandez,2,69,363
Jose Melchor Romero,2,69,364
La Cumbre,2,69,365
La Plata,2,69,366
Lisandro Olmos,2,69,367
Los Hornos,2,69,368
Manuel B Gonnet,2,69,369
Ringuelet,2,69,370
Ruta del Sol,2,69,371
Tolosa,2,69,372
Transradio,2,69,373
Villa Elisa,2,69,374
Villa Elvira,2,69,375
Villa Garibaldi,2,69,376
Villa Montoro,2,69,377
Villa Parque Sicardi,2,69,378
Lanus Este,2,70,379
Lanus Oeste,2,70,380
Monte Chingolo,2,70,381
Remedios Escalada de San Martin,2,70,382
Valentin Alsina,2,70,383
Laprida,2,71,384
Pueblo Nuevo,2,71,385
Pueblo San Jorge,2,71,386
Coronel Boerr,2,72,387
El Trigo,2,72,388
Las Flores,2,72,389
Pardo,2,72,390
Alberdi Viejo,2,73,391
El Dorado,2,73,392
Fortin Acha,2,73,393
Juan Bautista Alberdi (est. Alberdi),2,73,394
Leandro N. Alem,2,73,395
Vedia,2,73,396
Arenaza,2,74,397
Bayauca,2,74,398
Carlos Salas,2,74,399
Coronel Martinez de Hoz (ap. Kilometro 322),2,74,400
El Triunfo,2,74,401
Las Toscas,2,74,402
Lincoln,2,74,403
Pasteur,2,74,404
Roberts,2,74,405
Licenciado Matienzo,2,75,406
Loberia,2,75,407
Pieres,2,75,408
San Manuel,2,75,409
Antonio Carboni,2,76,410
Elvira,2,76,411
Lobos,2,76,412
Salvador Maria,2,76,413
Banfield,2,77,414
Llavallol,2,77,415
Lomas de Zamora,2,77,416
Temperley,2,77,417
Turdera,2,77,418
Villa Centenario,2,77,419
Villa Fiorito,2,77,420
Barrio las Casuarinas,2,78,421
Carlos Keen,2,78,422
Cortines,2,78,423
Jose Maria Jauregui (est. Jauregui),2,78,424
Lezica y Torrezuri,2,78,425
Lujan,2,78,426
Olivera,2,78,427
Open Door (est. Dr. Domingo Cabred),2,78,428
Torres,2,78,429
General Mansilla (est. Bartolome Bavio),2,79,430
Magdalena,2,79,431
Vieytes,2,79,432
Las Armas,2,80,433
Maipu,2,80,434
Santo Domingo,2,80,435
Area de Promocion el Triangulo,2,81,436
Grand Bourg,2,81,437
Ingeniero Adolfo Sourdeaux,2,81,438
Ingeniero Pablo Nogues,2,81,439
Los Polvorines,2,81,440
Villa de Mayo,2,81,441
Coronel Vidal,2,82,442
General Piran,2,82,443
La Armonia,2,82,444
La Caleta,2,82,445
Mar de Cobo,2,82,446
Santa Clara del Mar,2,82,447
Vivorata,2,82,448
Marcos Paz,2,83,449
Gowland,2,84,450
Jorge Born,2,84,451
Mercedes,2,84,452
Libertad,2,85,453
Mariano Acosta,2,85,454
Merlo,2,85,455
Pontevedra,2,85,456
San Antonio de Padua,2,85,457
Abbott,2,86,458
San Miguel del Monte (est. Monte),2,86,459
Balneario Sauce Grande,2,87,460
Monte Hermoso,2,87,461
Cuartel V,2,88,462
Francisco Alvarez,2,88,463
La Reja,2,88,464
Moreno,2,88,465
Paso del Rey,2,88,466
Trujui,2,88,467
Castelar,2,89,468
El Palomar,2,89,469
Haedo,2,89,470
Moron,2,89,471
Villa Sarmiento,2,89,472
Jose Juan Almeyra,2,90,473
Las Marianas,2,90,474
Navarro,2,90,475
Villa Moll (est. Moll),2,90,476
Claraz,2,91,477
Energia,2,91,478
Juan N. Fernandez,2,91,479
Necochea - Quequen,2,91,480
Nicanor Olivera (est. la Dulce),2,91,481
Hinojo,2,92,482
Olavarria,2,92,483
Sierra Chica,2,92,484
Sierras Bayas,2,92,485
Villa Alfredo Fortabat,2,92,486
Bahia San Blas,2,93,487
Carmen de Patagones,2,93,488
Jose B. Casas,2,93,489
Juan A. Pradere,2,93,490
Stroeder,2,93,491
Villalonga,2,93,492
Capitan Castro,2,94,493
Chiclana,2,94,494
Francisco Madero,2,94,495
Inocencio Sosa,2,94,496
Juan Jose Paso,2,94,497
Magdala,2,94,498
Mones Cazon,2,94,499
Nueva Plata,2,94,500
Pehuajo,2,94,501
San Bernardo (est. Guanaco),2,94,502
San Esteban,2,94,503
Bocayuva,2,95,504
Pellegrini,2,95,505
Acevedo,2,96,506
Fontezuela,2,96,507
Guerrico,2,96,508
Juan A. de la Pena,2,96,509
Juan Anchorena (est. Urquiza),2,96,510
La Violeta,2,96,511
Manuel Ocampo,2,96,512
Mariano H. Alfonzo (est. San Patricio),2,96,513
Pergamino,2,96,514
Pinzon,2,96,515
Rancagua,2,96,516
Villa Angelica (est. el Socorro),2,96,517
Villa San Jose,2,96,518
Casalins,2,97,519
Pila,2,97,520
Fatima,2,98,521
La Lonja,2,98,522
Manuel Alberti,2,98,523
Manzanares,2,98,524
Maquinista F. Savio (oeste),2,98,525
Pilar,2,98,526
Presidente Derqui,2,98,527
Santa Teresa,2,98,528
Villa Astolfi,2,98,529
Villa Rosa,2,98,530
Zelaya,2,98,531
Pinamar,2,99,532
Guernica,2,100,533
Bordenave,2,101,534
Darregueira,2,101,535
Puan,2,101,536
San German,2,101,537
Villa Iris,2,101,538
Pipinas,2,102,539
Punta Indio,2,102,540
Veronica,2,102,541
Bernal,2,103,542
Bernal Oeste,2,103,543
Don Bosco,2,103,544
Ezpeleta,2,103,545
Ezpeleta Oeste,2,103,546
Quilmes,2,103,547
Quilmes Oeste,2,103,548
Villa la Florida,2,103,549
El Paraiso,2,104,550
Perez Millan,2,104,551
Ramallo,2,104,552
Villa Ramallo,2,104,553
Rauch,2,105,554
America,2,106,555
Fortin Olavarria,2,106,556
Gonzalez Moreno,2,106,557
Sansinena,2,106,558
Las Carabelas,2,107,559
Rafael Obligado,2,107,560
Rojas,2,107,561
Carlos Beguerie,2,108,562
Roque Perez,2,108,563
Arroyo Corto,2,109,564
Espartillar,2,109,565
Goyena,2,109,566
Pigue,2,109,567
Saavedra,2,109,568
Alvarez de Toledo,2,110,569
Cazon,2,110,570
Del Carril,2,110,571
Saladillo,2,110,572
Quenuma,2,111,573
Salliquelo,2,111,574
Arroyo Dulce,2,112,575
Gahan,2,112,576
Ines Indart,2,112,577
La Invencible,2,112,578
Salto,2,112,579
Azcuenaga,2,113,580
Cucullu,2,113,581
San Andres de Giles,2,113,582
Solis,2,113,583
Villa Espil,2,113,584
Villa Ruiz,2,113,585
Duggan,2,114,586
San Antonio de Areco,2,114,587
Villa Lia,2,114,588
Balneario San Cayetano,2,115,589
Ochandio,2,115,590
San Cayetano,2,115,591
San Fernando,2,116,592
Victoria,2,116,593
Virreyes,2,116,594
Acassuso,2,117,595
Beccar,2,117,596
Boulogne Sur Mer,2,117,597
Martinez,2,117,598
San Isidro,2,117,599
Villa Adelina,2,117,600
Bella Vista,2,118,601
Campo de Mayo,2,118,602
Muniz,2,118,603
San Miguel,2,118,604
Conesa,2,119,605
Erezcano,2,119,606
General Rojo,2,119,607
San Nicolas de los Arroyos,2,119,608
Pueblo Doyle,2,120,609
Rio Tala,2,120,610
San Pedro,2,120,611
Santa Lucia,2,120,612
Alejandro Korn,2,121,613
Domselaar,2,121,614
San Vicente,2,121,615
General Rivas,2,122,616
Suipacha,2,122,617
De la Canal,2,123,618
Desvio Aguirre,2,123,619
Gardey,2,123,620
Maria Ignacia (est. Vela),2,123,621
Tandil,2,123,622
Tapalque,2,124,623
Benavidez,2,125,624
Dique Lujan,2,125,625
Don Torcuato Este,2,125,626
Don Torcuato Oeste,2,125,627
El Talar,2,125,628
General Pacheco,2,125,629
Los Troncos del Talar,2,125,630
Nordelta,2,125,631
Ricardo Rojas,2,125,632
Rincon de Milberg,2,125,633
Tigre,2,125,634
General Conesa,2,126,635
Villa Roch,2,126,636
Saldungaray,2,127,637
Sierra de la Ventana,2,127,638
Tornquist,2,127,639
Villa Serrana la Gruta,2,127,640
Villa Ventana,2,127,641
30 de Agosto,2,128,642
Girodias,2,128,643
La Carreta,2,128,644
Trenque Lauquen,2,128,645
Tronge,2,128,646
Claromeco,2,129,647
Copetonas,2,129,648
Lin Calel,2,129,649
Micaela Cascallares (est. Cascallares),2,129,650
Orense,2,129,651
Reta,2,129,652
San Francisco de Bellocq,2,129,653
San Mayol,2,129,654
Tres Arroyos,2,129,655
11 de Septiembre,2,130,656
Caseros,2,130,657
Churruca,2,130,658
Ciudad Jardin Lomas del Palomar,2,130,659
Ciudadela,2,130,660
El Libertador,2,130,661
Jose Ingenieros,2,130,662
Loma Hermosa,2,130,663
Martin Coronado,2,130,664
Pablo Podesta,2,130,665
Remedios de Escalada,2,130,666
Saenz Pena,2,130,667
Santos Lugares,2,130,668
Villa Bosch (est. Juan Maria Bosch),2,130,669
Villa Raffo,2,130,670
Tres Lomas,2,131,671
Carapachay,2,132,672
Florida,2,132,673
Florida Oeste,2,132,674
La Lucila,2,132,675
Munro,2,132,676
Olivos,2,132,677
Vicente Lopez,2,132,678
Villa Martelli,2,132,679
Villa Gesell,2,133,680
Argerich,2,134,681
Country los Medanos,2,134,682
Juan Couste (est. Algarrobo),2,134,683
Mayor Buratovich,2,134,684
Medanos,2,134,685
Pedro Luro,2,134,686
Teniente Origone,2,134,687
Escalada,2,135,688
Lima,2,135,689
Zarate,2,135,690
Caba,1,136,691
El Bolson,3,138,692
El Rodeo,3,138,693
La Puerta,3,138,694
Las Chacritas,3,138,695
Los Talas,3,138,696
Los Varela,3,138,697
Ancasti,3,139,698
Aconquija,3,140,699
Andalgala,3,140,700
Chaquiago,3,140,701
El Alamito,3,140,702
El Potrero,3,140,703
La Aguada,3,140,704
La Mesada,3,140,705
Antofagasta de la Sierra,3,141,706
Belen,3,142,707
El Durazno,3,142,708
Hualfin,3,142,709
Las Juntas,3,142,710
Londres,3,142,711
Capayan,3,143,712
Chumbicha,3,143,713
Colonia del Valle,3,143,714
Colonia Nueva Coneta,3,143,715
Coneta,3,143,716
Huillapima,3,143,717
Los Angeles,3,143,718
Miraflores,3,143,719
San Martin,3,143,720
El Pantanillo,3,144,721
San Fernando del Valle de Catamarca,3,144,722
El Alto,3,145,723
Tapso,3,145,724
El Hueco,3,146,725
La Carrera,3,146,726
La Falda de San Antonio,3,146,727
La Tercena,3,146,728
San Antonio,3,146,729
Villa las Pirquitas,3,146,730
Icano,3,147,731
Quiros,3,147,732
Recreo,3,147,733
La Merced,3,148,734
La Vina,3,148,735
Las Lajas,3,148,736
Colpes,3,149,737
Mutquin,3,149,738
Poman,3,149,739
Saujil,3,149,740
Sijan,3,149,741
Chanar Punco,3,150,742
Famatanca,3,150,743
La Loma,3,150,744
Las Mojarras,3,150,745
Loro Huasi,3,150,746
Alijilan,3,151,747
Banado de Ovanta,3,151,748
Lavalle,3,151,749
Los Altos,3,151,750
Fiambala,3,152,751
Tinogasta,3,152,752
El Banado,3,153,753
El Portezuelo,3,153,754
Polcos,3,153,755
Pozo del Mistol,3,153,756
Sumalao,3,153,757
Villa Dolores,3,153,758
Gancedo,4,154,759
General Capdevila,4,154,760
General Pinedo,4,154,761
Meson de Fierro,4,154,762
Colonia Benitez,4,155,763
Margarita Belen,4,155,764
Hermoso Campo,4,156,765
Itin,4,156,766
Colonia Aborigen,4,1,767
Machagai,4,1,768
Las Brenas,4,2,769
Concepcion del Bermejo,4,6,770
Los Frentones,4,6,771
Pampa del Infierno,4,6,772
Taco Pozo,4,6,773
General Vedia,4,157,774
Isla del Cerrito,4,157,775
La Leonesa,4,157,776
Las Palmas,4,157,777
Puerto Bermejo Nuevo,4,157,778
Puerto Eva Peron,4,157,779
Charata,4,28,780
Presidencia Roque Saenz Pena,4,158,781
Chorotis,4,159,782
Santa Sylvina,4,159,783
Corzuela,4,48,784
La Escondida,4,160,785
La Verde,4,160,786
Lapachito,4,160,787
Makalle,4,160,788
El Espinillo,4,161,789
El Sauzal,4,161,790
El Sauzalito,4,161,791
Fortin Lavalle,4,161,792
Fuerte Esperanza,4,161,793
Juan Jose Castelli,4,161,794
Nueva Pompeya,4,161,795
Villa Rio Bermejito,4,161,796
Wichi,4,161,797
Avia Terai,4,162,798
Campo Largo,4,162,799
Laguna Blanca,4,163,800
Puerto Tirol,4,163,801
Ciervo Petiso,4,164,802
General Jose de San Martin,4,164,803
La Eduvigis,4,164,804
Laguna Limpia,4,164,805
Pampa Almiron,4,164,806
Pampa del Indio,4,164,807
Presidencia Roca,4,164,808
Tres Isletas,4,80,809
Coronel Du Graty,4,165,810
Enrique Urien,4,165,811
Villa Angela,4,165,812
La Clotilde,4,166,813
La Tigra,4,166,814
San Bernardo,4,166,815
Presidencia de la Plaza,4,167,816
Quitilipi,4,168,817
Villa el Palmar,4,168,818
Barranqueras,4,116,819
Basail,4,116,820
Fontana,4,116,821
Puerto Vilelas,4,116,822
Resistencia,4,116,823
Samuhu,4,169,824
Villa Berthet,4,169,825
Capitan Solari,4,170,826
Colonia Elisa,4,170,827
Colonias Unidas,4,170,828
Las Garcitas,4,170,829
Charadai,4,171,830
Arroyo Verde,5,172,831
Puerto Madryn,5,172,832
Puerto Piramide,5,172,833
Quinta el Mirador,5,172,834
Reserva Area Protegida el Doradillo,5,172,835
Cholila,5,173,836
El Hoyo,5,173,837
Epuyen,5,173,838
Gualjaina,5,173,839
Lago Puelo,5,173,840
Leleque,5,173,841
Acceso Norte,5,174,842
Comodoro Rivadavia,5,174,843
Diadema Argentina,5,174,844
Rada Tilly,5,174,845
Camarones,5,44,846
Garayalde,5,44,847
Aldea Escolar,5,175,848
Corcovado,5,175,849
Esquel,5,175,850
Los Cipreses,5,175,851
Trevelin,5,175,852
28 de Julio,5,176,853
Dolavon,5,176,854
Gaiman,5,176,855
Blancuntre,5,177,856
El Escorial,5,177,857
Gastre,5,177,858
Lagunita Salada,5,177,859
Yala Laubat,5,177,860
Aldea Epulef,5,178,861
Carrenleufu,5,178,862
Colan Conhue,5,178,863
Paso del Sapo,5,178,864
Tecka,5,178,865
El Mirasol,5,179,866
Las Plumas,5,179,867
Cerro Condor,5,180,868
Los Altares,5,180,869
Paso de Indios,5,180,870
Playa Magagna,5,181,871
Playa Union,5,181,872
Trelew,5,181,873
Aldea Apeleg,5,182,874
Aldea Beleiro,5,182,875
Alto Rio Senguer,5,182,876
Doctor Ricardo Rojas,5,182,877
Facundo,5,182,878
Lago Blanco,5,182,879
Rio Mayo,5,182,880
Buen Pasto,5,183,881
Sarmiento,5,183,882
Jose de San Martin,5,184,883
Rio Pico,5,184,884
Gan Gan,5,185,885
Telsen,5,185,886
Amboy,6,186,887
Canada del Sauce,6,186,888
Capilla Vieja,6,186,889
El Corcovado - el Torreon,6,186,890
Embalse,6,186,891
La Cruz,6,186,892
La Cumbrecita,6,186,893
Las Bajadas,6,186,894
Las Caleras,6,186,895
Los Condores,6,186,896
Los Molinos,6,186,897
Los Reartes,6,186,898
Rio de los Sauces,6,186,899
San Ignacio (loteo San Javier),6,186,900
Santa Monica,6,186,901
Santa Rosa de Calamuchita,6,186,902
Segunda Usina,6,186,903
Villa Alpina,6,186,904
Villa Amancay,6,186,905
Villa Berna,6,186,906
Villa Ciudad Parque los Reartes,6,186,907
Villa Ciudad Parque los Reartes (1a. Seccion),6,186,908
Villa del Dique,6,186,909
Villa General Belgrano,6,186,910
Villa Quillinzo,6,186,911
Villa Rumipal,6,186,912
Villa San Miguel,6,186,913
Villa Yacanto,6,186,914
Cordoba,6,144,915
Agua de Oro,6,31,916
Ascochinga,6,31,917
Colonia Caroya,6,31,918
El Manzano,6,31,919
General Paz,6,31,920
Jesus Maria,6,31,921
La Calera,6,31,922
La Granja,6,31,923
Los Molles,6,31,924
Mendiolaza,6,31,925
Mi Granja,6,31,926
Pajas Blancas,6,31,927
Rio Ceballos,6,31,928
Saldan,6,31,929
Salsipuedes,6,31,930
Unquillo,6,31,931
Villa Allende,6,31,932
Villa Cerro Azul,6,31,933
Villa el Fachinal - Parque Norte - Guinazu Norte,6,31,934
Villa los Llanos - Juarez Celman,6,31,935
Alto de los Quebrachos,6,187,936
Banado de Soto,6,187,937
Cruz de Cana,6,187,938
Cruz del Eje,6,187,939
El Brete,6,187,940
Guanaco Muerto,6,187,941
La Banda,6,187,942
La Batea,6,187,943
La Higuera,6,187,944
Las Playas,6,187,945
Los Chanaritos,6,187,946
Media Naranja,6,187,947
Paso Viejo,6,187,948
San Marcos Sierra,6,187,949
Serrezuela,6,187,950
Tuclame,6,187,951
Villa de Soto,6,187,952
Del Campillo,6,188,953
Hipolito Bouchard,6,188,954
Huinca Renanco,6,188,955
Italo,6,188,956
Pincen,6,188,957
Santa Magdalena (est. Jovita),6,188,958
Villa Huidobro,6,188,959
Villa Valeria,6,188,960
Arroyo Algodon,6,58,961
Arroyo Cabral,6,58,962
Ausonia,6,58,963
Chazon,6,58,964
Etruria,6,58,965
La Laguna,6,58,966
La Palestina,6,58,967
La Playosa,6,58,968
Pasco,6,58,969
Silvio Pellico,6,58,970
Ticino,6,58,971
Tio Pujio,6,58,972
Villa Maria,6,58,973
Chuna,6,189,974
Copacabana,6,189,975
Dean Funes,6,189,976
Esquina del Alambre,6,189,977
