Año,Trimestre,Banda ancha fija,Dial up,Total,Id_Provincia,Año-Trimestre
2022,4,1049592,68,1049660,6,20224
2022,4,155449,4,155453,7,20224
2022,4,270952,22,270974,8,20224
2022,4,61840,0,61840,9,20224
2022,4,118218,0,118218,10,20224
2022,4,113993,171,114164,11,20224
2022,4,86258,4,86262,12,20224
2022,4,291327,777,292104,13,20224
2022,4,186269,0,186269,14,20224
2022,4,159712,468,160180,15,20224
2022,4,161544,548,162092,16,20224
2022,4,205855,5,205860,17,20224
2022,4,103545,281,103826,18,20224
2022,4,135028,192,135220,19,20224
2022,4,50005,198,50203,20,20224
2022,4,887581,110,887691,21,20224
2022,4,119492,2,119494,22,20224
2022,4,54948,312,55260,23,20224
2022,4,263392,30,263422,24,20224
2022,3,4715469,6199,4721668,2,20223
2022,3,1545534,2145,1547679,1,20223
2022,3,70292,1,70293,3,20223
2022,3,144141,5,144146,4,20223
2022,3,164874,904,165778,5,20223
2022,3,1038600,68,1038668,6,20223
2022,3,144842,4,144846,7,20223
2022,3,268937,22,268959,8,20223
2022,3,68537,1,68538,9,20223
2022,3,118823,0,118823,10,20223
2022,3,115921,171,116092,11,20223
2022,3,86860,4,86864,12,20223
2022,3,288746,777,289523,13,20223
2022,3,182157,0,182157,14,20223
2022,3,162693,468,163161,15,20223
2022,3,160010,548,160558,16,20223
2022,3,204536,5,204541,17,20223
2022,3,103118,281,103399,18,20223
2022,3,121888,182,122070,19,20223
2022,3,49312,198,49510,20,20223
2022,3,887700,110,887810,21,20223
2022,3,119030,2,119032,22,20223
2022,3,53584,312,53896,23,20223
2022,3,263087,30,263117,24,20223
2022,2,4660984,6199,4667183,2,20222
2022,2,1534626,2145,1536771,1,20222
2022,2,67007,1,67008,3,20222
2022,2,143559,5,143564,4,20222
2022,2,161901,904,162805,5,20222
2022,2,1026367,68,1026435,6,20222
2022,2,144993,4,144997,7,20222
2022,2,269330,22,269352,8,20222
2022,2,67881,0,67881,9,20222
2022,2,115314,0,115314,10,20222
2022,2,111356,171,111527,11,20222
2022,2,86026,4,86030,12,20222
2022,2,278785,777,279562,13,20222
2022,2,178813,0,178813,14,20222
2022,2,161500,468,161968,15,20222
2022,2,159216,548,159764,16,20222
2022,2,203172,5,203177,17,20222
2022,2,100126,281,100407,18,20222
2022,2,121559,182,121741,19,20222
2022,2,48987,198,49185,20,20222
2022,2,878749,110,878859,21,20222
2022,2,118042,2,118044,22,20222
2022,2,53458,312,53770,23,20222
2022,2,254497,30,254527,24,20222
2022,1,4549131,6293,4555424,2,20221
2022,1,1415378,2163,1417541,1,20221
2022,1,62377,1,62378,3,20221
2022,1,144114,5,144119,4,20221
2022,1,170701,927,171628,5,20221
2022,1,1003729,74,1003803,6,20221
2022,1,142574,4,142578,7,20221
2022,1,267904,22,267926,8,20221
2022,1,54548,0,54548,9,20221
2022,1,116509,0,116509,10,20221
2022,1,109560,172,109732,11,20221
2022,1,84299,4,84303,12,20221
2022,1,274399,786,275185,13,20221
2022,1,171508,0,171508,14,20221
2022,1,149208,471,149679,15,20221
2022,1,156821,553,157374,16,20221
2022,1,197510,5,197515,17,20221
2022,1,87888,290,88178,18,20221
2022,1,119659,185,119844,19,20221
2022,1,48898,204,49102,20,20221
2022,1,870364,115,870479,21,20221
2022,1,116459,2,116461,22,20221
2022,1,52298,313,52611,23,20221
2022,1,245554,30,245584,24,20221
2021,4,4502772,6385,4509157,2,20214
2021,4,1409935,2184,1412119,1,20214
2021,4,59089,1,59090,3,20214
2021,4,143740,5,143745,4,20214
2021,4,159364,944,160308,5,20214
2021,4,986693,77,986770,6,20214
2021,4,135908,4,135912,7,20214
2021,4,265024,22,265046,8,20214
2021,4,53663,0,53663,9,20214
2021,4,113915,0,113915,10,20214
2021,4,106834,173,107007,11,20214
2021,4,83124,4,83128,12,20214
2021,4,266783,804,267587,13,20214
2021,4,171132,0,171132,14,20214
2021,4,146989,477,147466,15,20214
2021,4,153189,564,153753,16,20214
2021,4,199399,6,199405,17,20214
2021,4,79667,291,79958,18,20214
2021,4,118662,187,118849,19,20214
2021,4,48276,210,48486,20,20214
2021,4,866265,176,866441,21,20214
2021,4,115859,2,115861,22,20214
2021,4,52042,315,52357,23,20214
2021,4,238609,30,238639,24,20214
2021,3,4246425,5184,4251609,2,20213
2021,3,1411797,1608,1413405,1,20213
